symbol,name,market,csv
300421.SZ,力星股份,A股,..\data\a_share\300421.SZ.csv
601882.SH,海天精工,A股,..\data\a_share\601882.SH.csv
603030.SH,全筑股份,A股,..\data\a_share\603030.SH.csv
600522.SH,中天科技,A股,..\data\a_share\600522.SH.csv
301079.SZ,邵阳液压,A股,..\data\a_share\301079.SZ.csv
688781.SH,视涯科技-UW,A股,..\data\a_share\688781.SH.csv
603162.SH,海通发展,A股,..\data\a_share\603162.SH.csv
688061.SH,灿瑞科技,A股,..\data\a_share\688061.SH.csv
300955.SZ,嘉亨家化,A股,..\data\a_share\300955.SZ.csv
603289.SH,泰瑞机器,A股,..\data\a_share\603289.SH.csv
605111.SH,新洁能,A股,..\data\a_share\605111.SH.csv
600118.SH,中国卫星,A股,..\data\a_share\600118.SH.csv
300865.SZ,大宏立,A股,..\data\a_share\300865.SZ.csv
920873.SH,中设咨询,A股,..\data\a_share\920873.SH.csv
601003.SH,柳钢股份,A股,..\data\a_share\601003.SH.csv
300948.SZ,冠中生态,A股,..\data\a_share\300948.SZ.csv
688184.SH,ST帕瓦,A股,..\data\a_share\688184.SH.csv
300854.SZ,中兰环保,A股,..\data\a_share\300854.SZ.csv
920011.SH,晨光电机,A股,..\data\a_share\920011.SH.csv
000026.SZ,飞亚达,A股,..\data\a_share\000026.SZ.csv
301003.SZ,江苏博云,A股,..\data\a_share\301003.SZ.csv
920124.SH,南特科技,A股,..\data\a_share\920124.SH.csv
301115.SZ,联检科技,A股,..\data\a_share\301115.SZ.csv
920116.SH,星图测控,A股,..\data\a_share\920116.SH.csv
300828.SZ,锐新科技,A股,..\data\a_share\300828.SZ.csv
920055.SH,隆源股份,A股,..\data\a_share\920055.SH.csv
300345.SZ,华民股份,A股,..\data\a_share\300345.SZ.csv
603399.SH,永杉锂业,A股,..\data\a_share\603399.SH.csv
002189.SZ,中光学,A股,..\data\a_share\002189.SZ.csv
300381.SZ,溢多利,A股,..\data\a_share\300381.SZ.csv
603331.SH,百达精工,A股,..\data\a_share\603331.SH.csv
003009.SZ,中天火箭,A股,..\data\a_share\003009.SZ.csv
920418.SH,苏轴股份,A股,..\data\a_share\920418.SH.csv
300845.SZ,捷安高科,A股,..\data\a_share\300845.SZ.csv
002800.SZ,天顺股份,A股,..\data\a_share\002800.SZ.csv
300476.SZ,胜宏科技,A股,..\data\a_share\300476.SZ.csv
603353.SH,和顺石油,A股,..\data\a_share\603353.SH.csv
603773.SH,沃格光电,A股,..\data\a_share\603773.SH.csv
600929.SH,雪天盐业,A股,..\data\a_share\600929.SH.csv
002827.SZ,高争民爆,A股,..\data\a_share\002827.SZ.csv
001312.SZ,福恩股份,A股,..\data\a_share\001312.SZ.csv
688811.SH,有研复材,A股,..\data\a_share\688811.SH.csv
300872.SZ,天阳科技,A股,..\data\a_share\300872.SZ.csv
300695.SZ,兆丰股份,A股,..\data\a_share\300695.SZ.csv
300469.SZ,信息发展,A股,..\data\a_share\300469.SZ.csv
601126.SH,四方股份,A股,..\data\a_share\601126.SH.csv
300102.SZ,乾照光电,A股,..\data\a_share\300102.SZ.csv
002489.SZ,浙江永强,A股,..\data\a_share\002489.SZ.csv
300270.SZ,中威电子,A股,..\data\a_share\300270.SZ.csv
002755.SZ,奥赛康,A股,..\data\a_share\002755.SZ.csv
603334.SH,丰倍生物,A股,..\data\a_share\603334.SH.csv
688816.SH,易思维,A股,..\data\a_share\688816.SH.csv
603629.SH,利通电子,A股,..\data\a_share\603629.SH.csv
000801.SZ,四川九洲,A股,..\data\a_share\000801.SZ.csv
688102.SH,斯瑞新材,A股,..\data\a_share\688102.SH.csv
603657.SH,春光科技,A股,..\data\a_share\603657.SH.csv
002396.SZ,星网锐捷,A股,..\data\a_share\002396.SZ.csv
600751.SH,海航科技,A股,..\data\a_share\600751.SH.csv
002203.SZ,海亮股份,A股,..\data\a_share\002203.SZ.csv
002075.SZ,沙钢股份,A股,..\data\a_share\002075.SZ.csv
603488.SH,展鹏科技,A股,..\data\a_share\603488.SH.csv
000738.SZ,航发控制,A股,..\data\a_share\000738.SZ.csv
300301.SZ,ST长方,A股,..\data\a_share\300301.SZ.csv
688223.SH,晶科能源,A股,..\data\a_share\688223.SH.csv
000791.SZ,甘肃能源,A股,..\data\a_share\000791.SZ.csv
301055.SZ,张小泉,A股,..\data\a_share\301055.SZ.csv
601872.SH,招商轮船,A股,..\data\a_share\601872.SH.csv
688127.SH,蓝特光学,A股,..\data\a_share\688127.SH.csv
601515.SH,衢州东峰,A股,..\data\a_share\601515.SH.csv
603960.SH,克来机电,A股,..\data\a_share\603960.SH.csv
000042.SZ,中洲控股,A股,..\data\a_share\000042.SZ.csv
603296.SH,华勤技术,A股,..\data\a_share\603296.SH.csv
688109.SH,品茗科技,A股,..\data\a_share\688109.SH.csv
300920.SZ,润阳科技,A股,..\data\a_share\300920.SZ.csv
300863.SZ,卡倍亿,A股,..\data\a_share\300863.SZ.csv
603868.SH,飞科电器,A股,..\data\a_share\603868.SH.csv
600368.SH,五洲交通,A股,..\data\a_share\600368.SH.csv
600331.SH,宏达股份,A股,..\data\a_share\600331.SH.csv
301046.SZ,能辉科技,A股,..\data\a_share\301046.SZ.csv
300159.SZ,*ST新研,A股,..\data\a_share\300159.SZ.csv
002683.SZ,广东宏大,A股,..\data\a_share\002683.SZ.csv
920821.SH,则成电子,A股,..\data\a_share\920821.SH.csv
688191.SH,智洋创新,A股,..\data\a_share\688191.SH.csv
603231.SH,索宝蛋白,A股,..\data\a_share\603231.SH.csv
603223.SH,恒通股份,A股,..\data\a_share\603223.SH.csv
603380.SH,易德龙,A股,..\data\a_share\603380.SH.csv
603298.SH,杭叉集团,A股,..\data\a_share\603298.SH.csv
688552.SH,航天南湖,A股,..\data\a_share\688552.SH.csv
301225.SZ,恒勃股份,A股,..\data\a_share\301225.SZ.csv
300639.SZ,凯普生物,A股,..\data\a_share\300639.SZ.csv
300302.SZ,同有科技,A股,..\data\a_share\300302.SZ.csv
003031.SZ,中瓷电子,A股,..\data\a_share\003031.SZ.csv
002134.SZ,天津普林,A股,..\data\a_share\002134.SZ.csv
002357.SZ,富临运业,A股,..\data\a_share\002357.SZ.csv
002664.SZ,信质集团,A股,..\data\a_share\002664.SZ.csv
002599.SZ,盛通股份,A股,..\data\a_share\002599.SZ.csv
688085.SH,三友医疗,A股,..\data\a_share\688085.SH.csv
600389.SH,江山股份,A股,..\data\a_share\600389.SH.csv
605068.SH,明新旭腾,A股,..\data\a_share\605068.SH.csv
688066.SH,*ST航图,A股,..\data\a_share\688066.SH.csv
605369.SH,拱东医疗,A股,..\data\a_share\605369.SH.csv
000626.SZ,远大控股,A股,..\data\a_share\000626.SZ.csv
920593.SH,鼎智科技,A股,..\data\a_share\920593.SH.csv
688432.SH,有研硅,A股,..\data\a_share\688432.SH.csv
600319.SH,亚星化学,A股,..\data\a_share\600319.SH.csv
002861.SZ,瀛通通讯,A股,..\data\a_share\002861.SZ.csv
300075.SZ,数字政通,A股,..\data\a_share\300075.SZ.csv
300536.SZ,农尚环境,A股,..\data\a_share\300536.SZ.csv
601026.SH,道生天合,A股,..\data\a_share\601026.SH.csv
603117.SH,万林物流,A股,..\data\a_share\603117.SH.csv
600790.SH,轻纺城,A股,..\data\a_share\600790.SH.csv
300516.SZ,久之洋,A股,..\data\a_share\300516.SZ.csv
603681.SH,永冠新材,A股,..\data\a_share\603681.SH.csv
300234.SZ,开尔新材,A股,..\data\a_share\300234.SZ.csv
600100.SH,同方股份,A股,..\data\a_share\600100.SH.csv
600879.SH,航天电子,A股,..\data\a_share\600879.SH.csv
301066.SZ,万事利,A股,..\data\a_share\301066.SZ.csv
920576.SH,天力复合,A股,..\data\a_share\920576.SH.csv
603007.SH,花王股份,A股,..\data\a_share\603007.SH.csv
600221.SH,海航控股,A股,..\data\a_share\600221.SH.csv
688712.SH,北芯生命,A股,..\data\a_share\688712.SH.csv
300342.SZ,天银机电,A股,..\data\a_share\300342.SZ.csv
301368.SZ,丰立智能,A股,..\data\a_share\301368.SZ.csv
300027.SZ,ST华谊,A股,..\data\a_share\300027.SZ.csv
601698.SH,中国卫通,A股,..\data\a_share\601698.SH.csv
301005.SZ,超捷股份,A股,..\data\a_share\301005.SZ.csv
603392.SH,万泰生物,A股,..\data\a_share\603392.SH.csv
002669.SZ,康达新材,A股,..\data\a_share\002669.SZ.csv
300858.SZ,科拓生物,A股,..\data\a_share\300858.SZ.csv
003027.SZ,同兴科技,A股,..\data\a_share\003027.SZ.csv
603341.SH,龙旗科技,A股,..\data\a_share\603341.SH.csv
301213.SZ,观想科技,A股,..\data\a_share\301213.SZ.csv
688387.SH,信科移动-U,A股,..\data\a_share\688387.SH.csv
920080.SH,奥美森,A股,..\data\a_share\920080.SH.csv
301395.SZ,仁信新材,A股,..\data\a_share\301395.SZ.csv
300044.SZ,*ST赛为,A股,..\data\a_share\300044.SZ.csv
603665.SH,康隆达,A股,..\data\a_share\603665.SH.csv
688309.SH,恒誉环保,A股,..\data\a_share\688309.SH.csv
603257.SH,中国瑞林,A股,..\data\a_share\603257.SH.csv
600336.SH,澳柯玛,A股,..\data\a_share\600336.SH.csv
600207.SH,安彩高科,A股,..\data\a_share\600207.SH.csv
301613.SZ,新铝时代,A股,..\data\a_share\301613.SZ.csv
688581.SH,安杰思,A股,..\data\a_share\688581.SH.csv
002976.SZ,瑞玛精密,A股,..\data\a_share\002976.SZ.csv
300349.SZ,金卡智能,A股,..\data\a_share\300349.SZ.csv
000016.SZ,*ST康佳A,A股,..\data\a_share\000016.SZ.csv
600826.SH,兰生股份,A股,..\data\a_share\600826.SH.csv
600105.SH,永鼎股份,A股,..\data\a_share\600105.SH.csv
603916.SH,苏博特,A股,..\data\a_share\603916.SH.csv
002048.SZ,宁波华翔,A股,..\data\a_share\002048.SZ.csv
000911.SZ,*ST广糖,A股,..\data\a_share\000911.SZ.csv
002183.SZ,怡 亚 通,A股,..\data\a_share\002183.SZ.csv
000545.SZ,金浦钛业,A股,..\data\a_share\000545.SZ.csv
600228.SH,*ST返利,A股,..\data\a_share\600228.SH.csv
920857.SH,泓禧科技,A股,..\data\a_share\920857.SH.csv
000826.SZ,*ST启环,A股,..\data\a_share\000826.SZ.csv
600381.SH,*ST春天,A股,..\data\a_share\600381.SH.csv
688279.SH,峰岹科技,A股,..\data\a_share\688279.SH.csv
002429.SZ,兆驰股份,A股,..\data\a_share\002429.SZ.csv
002693.SZ,*ST双成,A股,..\data\a_share\002693.SZ.csv
603031.SH,安孚科技,A股,..\data\a_share\603031.SH.csv
603189.SH,*ST网达,A股,..\data\a_share\603189.SH.csv
603843.SH,*ST正平,A股,..\data\a_share\603843.SH.csv
605336.SH,*ST帅电,A股,..\data\a_share\605336.SH.csv
301199.SZ,迈赫股份,A股,..\data\a_share\301199.SZ.csv
301288.SZ,*ST清研,A股,..\data\a_share\301288.SZ.csv
002207.SZ,*ST准油,A股,..\data\a_share\002207.SZ.csv
003004.SZ,*ST声迅,A股,..\data\a_share\003004.SZ.csv
600892.SH,*ST大晟,A股,..\data\a_share\600892.SH.csv
002289.SZ,*ST宇顺,A股,..\data\a_share\002289.SZ.csv
003032.SZ,*ST传智,A股,..\data\a_share\003032.SZ.csv
002569.SZ,*ST步森,A股,..\data\a_share\002569.SZ.csv
688028.SH,沃尔德,A股,..\data\a_share\688028.SH.csv
603580.SH,*ST艾艾,A股,..\data\a_share\603580.SH.csv
002211.SZ,ST宏达,A股,..\data\a_share\002211.SZ.csv
603869.SH,ST智知,A股,..\data\a_share\603869.SH.csv
002519.SZ,银河电子,A股,..\data\a_share\002519.SZ.csv
603959.SH,ST百利,A股,..\data\a_share\603959.SH.csv
600476.SH,*ST湘邮,A股,..\data\a_share\600476.SH.csv
000668.SZ,*ST荣控,A股,..\data\a_share\000668.SZ.csv
002199.SZ,*ST东晶,A股,..\data\a_share\002199.SZ.csv
600337.SH,ST美克,A股,..\data\a_share\600337.SH.csv
002691.SZ,*ST冀凯,A股,..\data\a_share\002691.SZ.csv
600761.SH,安徽合力,A股,..\data\a_share\600761.SH.csv
600734.SH,*ST实达,A股,..\data\a_share\600734.SH.csv
002522.SZ,浙江众成,A股,..\data\a_share\002522.SZ.csv
688375.SH,国博电子,A股,..\data\a_share\688375.SH.csv
600730.SH,*ST高科,A股,..\data\a_share\600730.SH.csv
920351.SH,华光源海,A股,..\data\a_share\920351.SH.csv
603194.SH,中力股份,A股,..\data\a_share\603194.SH.csv
300553.SZ,集智股份,A股,..\data\a_share\300553.SZ.csv
688448.SH,磁谷科技,A股,..\data\a_share\688448.SH.csv
000909.SZ,*ST数源,A股,..\data\a_share\000909.SZ.csv
603828.SH,*ST利达,A股,..\data\a_share\603828.SH.csv
301371.SZ,敷尔佳,A股,..\data\a_share\301371.SZ.csv
688584.SH,上海合晶,A股,..\data\a_share\688584.SH.csv
300809.SZ,华辰装备,A股,..\data\a_share\300809.SZ.csv
603709.SH,中源家居,A股,..\data\a_share\603709.SH.csv
